gene_id,locus_tag,ftype,gene_name,product_name,product_short,plot_label,COG,EC_number
E745S_00039,E745S_00039,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00040,E745S_00040,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00041,E745S_00041,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00042,E745S_00042,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00043,E745S_00043,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00044,E745S_00044,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00045,E745S_00045,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00046,E745S_00046,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00047,E745S_00047,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00048,E745S_00048,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00049,E745S_00049,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00050,E745S_00050,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00051,E745S_00051,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00052,E745S_00052,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00053,E745S_00053,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00054,E745S_00054,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00055,E745S_00055,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00056,E745S_00056,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00057,E745S_00057,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00058,E745S_00058,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00059,E745S_00059,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00060,E745S_00060,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00061,E745S_00061,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00062,E745S_00062,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00063,E745S_00063,CDS,yjcQ,putative protein YjcQ,putative protein YjcQ,yjcQ / putative protein YjcQ,,
E745S_00064,E745S_00064,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00065,E745S_00065,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00066,E745S_00066,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00067,E745S_00067,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00068,E745S_00068,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00069,E745S_00069,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00070,E745S_00070,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00071,E745S_00071,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00072,E745S_00072,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00073,E745S_00073,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00074,E745S_00074,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00075,E745S_00075,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00076,E745S_00076,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00077,E745S_00077,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00078,E745S_00078,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00079,E745S_00079,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00080,E745S_00080,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00081,E745S_00081,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00082,E745S_00082,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00083,E745S_00083,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00084,E745S_00084,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00085,E745S_00085,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00086,E745S_00086,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00087,E745S_00087,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00088,E745S_00088,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00089,E745S_00089,CDS,NA,IS3 family transposase ISEnfa3,IS3 family transposase ISEnfa3,IS3 family transposase ISEnfa3,,
E745S_00090,E745S_00090,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00091,E745S_00091,CDS,cbh_1,Choloylglycine hydrolase,Choloylglycine hydrolase,cbh_1 / Choloylglycine hydrolase,,3.5.1.24
E745S_00092,E745S_00092,CDS,NA,IS256 family transposase ISEf1,IS256 family transposase ISEf1,IS256 family transposase ISEf1,,
E745S_00093,E745S_00093,CDS,cbh_2,Choloylglycine hydrolase,Choloylglycine hydrolase,cbh_2 / Choloylglycine hydrolase,,3.5.1.24
E745S_00094,E745S_00094,CDS,NA,IS1182 family transposase ISEfa7,IS1182 family transposase ISEfa7,IS1182 family transposase ISEfa7,,
E745S_00095,E745S_00095,CDS,asnB,Asparagine synthetase [glutamine-hydrolyzing] 1,Asparagine synthetase [glutamine-hydrolyzing] 1,asnB / Asparagine synthetase [glutamine-hydrolyzing] 1,COG0367,6.3.5.4
E745S_00096,E745S_00096,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00097,E745S_00097,CDS,rpmGA_1,50S ribosomal protein L33 1,50S ribosomal protein L33 1,rpmGA_1 / 50S ribosomal protein L33 1,,
E745S_00098,E745S_00098,CDS,folA_1,Dihydrofolate reductase,Dihydrofolate reductase,folA_1 / Dihydrofolate reductase,,1.5.1.3
E745S_00099,E745S_00099,CDS,yfiY,putative siderophore-binding lipoprotein YfiY,putative siderophore-binding lipoprotein YfiY,yfiY / putative siderophore-binding lipoprotein YfiY,COG0614,
E745S_00100,E745S_00100,CDS,fepC,Ferric enterobactin transport ATP-binding protein FepC,Ferric enterobactin transport ATP-binding protein FepC,fepC / Ferric enterobactin transport ATP-binding protein FepC,COG1120,
E745S_00101,E745S_00101,CDS,feuB,Iron-uptake system permease protein FeuB,Iron-uptake system permease protein FeuB,feuB / Iron-uptake system permease protein FeuB,COG0609,
E745S_00102,E745S_00102,CDS,feuC,Iron-uptake system permease protein FeuC,Iron-uptake system permease protein FeuC,feuC / Iron-uptake system permease protein FeuC,COG0609,
E745S_00103,E745S_00103,CDS,yqgN,putative protein YqgN,putative protein YqgN,yqgN / putative protein YqgN,COG0212,
E745S_00104,E745S_00104,CDS,gluP,Rhomboid protease GluP,Rhomboid protease GluP,gluP / Rhomboid protease GluP,COG0705,3.4.21.105
E745S_00105,E745S_00105,CDS,yqgQ,putative protein YqgQ,putative protein YqgQ,yqgQ / putative protein YqgQ,COG4483,
E745S_00106,E745S_00106,CDS,glcK,Glucokinase,Glucokinase,glcK / Glucokinase,COG1940,2.7.1.2
E745S_00107,E745S_00107,CDS,yibN,putative protein YibN,putative protein YibN,yibN / putative protein YibN,COG0607,
E745S_00108,E745S_00108,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00109,E745S_00109,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00110,E745S_00110,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00111,E745S_00111,CDS,galE,UDP-glucose 4-epimerase,UDP-glucose 4-epimerase,galE / UDP-glucose 4-epimerase,COG1087,5.1.3.2
E745S_00112,E745S_00112,CDS,galT,Galactose-1-phosphate uridylyltransferase,Galactose-1-phosphate uridylyltransferase,galT / Galactose-1-phosphate uridylyltransferase,,2.7.7.12
E745S_00113,E745S_00113,CDS,melR_1,HTH-type transcriptional repressor MelR,HTH-type transcriptional repressor MelR,melR_1 / HTH-type transcriptional repressor MelR,COG1609,
E745S_00114,E745S_00114,CDS,tsaB,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,tRNA threonylcarbamoyladenosine biosynthesis protein Ts,tsaB / tRNA threonylcarbamoyladenosine biosynthesis protein Ts,COG1214,
E745S_00115,E745S_00115,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00116,E745S_00116,CDS,rimI,[Ribosomal protein S18]-alanine N-acetyltransferase,[Ribosomal protein S18]-alanine N-acetyltransferase,rimI / [Ribosomal protein S18]-alanine N-acetyltransferase,COG0456,2.3.1.266
E745S_00117,E745S_00117,CDS,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,tRNA N6-adenosine threonylcarbamoyltransferase,tsaD / tRNA N6-adenosine threonylcarbamoyltransferase,COG0533,2.3.1.234
E745S_00118,E745S_00118,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00119,E745S_00119,CDS,arcA,Arginine deiminase,Arginine deiminase,arcA / Arginine deiminase,,3.5.3.6
E745S_00120,E745S_00120,CDS,arcB,Ornithine carbamoyltransferase, catabolic,Ornithine carbamoyltransferase, catabolic,arcB / Ornithine carbamoyltransferase, catabolic,,2.1.3.3
E745S_00121,E745S_00121,CDS,arcC1,Carbamate kinase 1,Carbamate kinase 1,arcC1 / Carbamate kinase 1,,2.7.2.2
E745S_00122,E745S_00122,CDS,argS,Arginine--tRNA ligase,Arginine--tRNA ligase,argS / Arginine--tRNA ligase,COG0018,6.1.1.19
E745S_00123,E745S_00123,CDS,phnX_1,Phosphonoacetaldehyde hydrolase,Phosphonoacetaldehyde hydrolase,phnX_1 / Phosphonoacetaldehyde hydrolase,,3.11.1.1
E745S_00124,E745S_00124,CDS,phnX_2,Phosphonoacetaldehyde hydrolase,Phosphonoacetaldehyde hydrolase,phnX_2 / Phosphonoacetaldehyde hydrolase,,3.11.1.1
E745S_00125,E745S_00125,CDS,phnW,2-aminoethylphosphonate--pyruvate transaminase,2-aminoethylphosphonate--pyruvate transaminase,phnW / 2-aminoethylphosphonate--pyruvate transaminase,COG0075,2.6.1.37
E745S_00126,E745S_00126,CDS,argR_1,Arginine repressor,Arginine repressor,argR_1 / Arginine repressor,,
E745S_00127,E745S_00127,CDS,rpsB,30S ribosomal protein S2,30S ribosomal protein S2,rpsB / 30S ribosomal protein S2,COG0052,
E745S_00128,E745S_00128,CDS,tsf,Elongation factor Ts,Elongation factor Ts,tsf / Elongation factor Ts,COG0264,
E745S_00129,E745S_00129,CDS,pyrH,Uridylate kinase,Uridylate kinase,pyrH / Uridylate kinase,COG0528,2.7.4.22
E745S_00130,E745S_00130,CDS,frr,Ribosome-recycling factor,Ribosome-recycling factor,frr / Ribosome-recycling factor,,
E745S_00131,E745S_00131,CDS,uppS,Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific),Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,,uppS / Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,,COG0020,2.5.1.31
E745S_00132,E745S_00132,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00133,E745S_00133,CDS,rasP,Regulator of sigma-W protease RasP,Regulator of sigma-W protease RasP,rasP / Regulator of sigma-W protease RasP,COG0750,3.4.24.-
E745S_00134,E745S_00134,CDS,proS,Proline--tRNA ligase,Proline--tRNA ligase,proS / Proline--tRNA ligase,COG0442,6.1.1.15
E745S_00135,E745S_00135,CDS,polC_1,DNA polymerase III PolC-type,DNA polymerase III PolC-type,polC_1 / DNA polymerase III PolC-type,COG2176,2.7.7.7
E745S_00136,E745S_00136,CDS,rimP,Ribosome maturation factor RimP,Ribosome maturation factor RimP,rimP / Ribosome maturation factor RimP,COG0779,
E745S_00137,E745S_00137,CDS,nusA,Transcription termination/antitermination protein NusA,Transcription termination/antitermination protein NusA,nusA / Transcription termination/antitermination protein NusA,COG0195,
E745S_00138,E745S_00138,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00139,E745S_00139,CDS,rplGA,putative ribosomal protein YlxQ,putative ribosomal protein YlxQ,rplGA / putative ribosomal protein YlxQ,COG1358,
E745S_00140,E745S_00140,CDS,infB,Translation initiation factor IF-2,Translation initiation factor IF-2,infB / Translation initiation factor IF-2,,
E745S_00141,E745S_00141,CDS,rbfA,Ribosome-binding factor A,Ribosome-binding factor A,rbfA / Ribosome-binding factor A,,
E745S_00142,E745S_00142,CDS,NA,phosphoketolase,phosphoketolase,phosphoketolase,,4.1.2.-
E745S_00143,E745S_00143,CDS,xpkA_1,Xylulose-5-phosphate phosphoketolase,Xylulose-5-phosphate phosphoketolase,xpkA_1 / Xylulose-5-phosphate phosphoketolase,,4.1.2.9
E745S_00144,E745S_00144,CDS,xpkA_2,Xylulose-5-phosphate phosphoketolase,Xylulose-5-phosphate phosphoketolase,xpkA_2 / Xylulose-5-phosphate phosphoketolase,,4.1.2.9
E745S_00145,E745S_00145,CDS,truB,tRNA pseudouridine synthase B,tRNA pseudouridine synthase B,truB / tRNA pseudouridine synthase B,COG0130,5.4.99.25
E745S_00146,E745S_00146,CDS,ribF,Bifunctional riboflavin kinase/FMN adenylyltransferase,Bifunctional riboflavin kinase/FMN adenylyltransferase,ribF / Bifunctional riboflavin kinase/FMN adenylyltransferase,COG0196,
E745S_00147,E745S_00147,CDS,gdhIV,Glucose 1-dehydrogenase 4,Glucose 1-dehydrogenase 4,gdhIV / Glucose 1-dehydrogenase 4,COG1028,1.1.1.47
E745S_00148,E745S_00148,CDS,glcU_1,Glucose uptake protein GlcU,Glucose uptake protein GlcU,glcU_1 / Glucose uptake protein GlcU,COG4975,
E745S_00149,E745S_00149,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00150,E745S_00150,CDS,fra,Intracellular iron chaperone frataxin,Intracellular iron chaperone frataxin,fra / Intracellular iron chaperone frataxin,COG5646,
E745S_00151,E745S_00151,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00152,E745S_00152,CDS,mccF,Microcin C7 self-immunity protein MccF,Microcin C7 self-immunity protein MccF,mccF / Microcin C7 self-immunity protein MccF,,
E745S_00153,E745S_00153,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00154,E745S_00154,CDS,ydeA,putative protease YdeA,putative protease YdeA,ydeA / putative protease YdeA,COG0693,3.2.-.-
E745S_00155,E745S_00155,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00156,E745S_00156,CDS,hemW,Heme chaperone HemW,Heme chaperone HemW,hemW / Heme chaperone HemW,COG0635,
E745S_00157,E745S_00157,CDS,hrcA,Heat-inducible transcription repressor HrcA,Heat-inducible transcription repressor HrcA,hrcA / Heat-inducible transcription repressor HrcA,COG1420,
E745S_00158,E745S_00158,CDS,grpE,Protein GrpE,Protein GrpE,grpE / Protein GrpE,,
E745S_00159,E745S_00159,CDS,dnaK,Chaperone protein DnaK,Chaperone protein DnaK,dnaK / Chaperone protein DnaK,COG0443,
E745S_00160,E745S_00160,CDS,dnaJ,Chaperone protein DnaJ,Chaperone protein DnaJ,dnaJ / Chaperone protein DnaJ,COG0484,
E745S_00161,E745S_00161,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00162,E745S_00162,CDS,artM_1,Arginine transport ATP-binding protein ArtM,Arginine transport ATP-binding protein ArtM,artM_1 / Arginine transport ATP-binding protein ArtM,COG1126,
E745S_00163,E745S_00163,CDS,mltF_1,Membrane-bound lytic murein transglycosylase F,Membrane-bound lytic murein transglycosylase F,mltF_1 / Membrane-bound lytic murein transglycosylase F,,4.2.2.-
E745S_00164,E745S_00164,CDS,uvrB,UvrABC system protein B,UvrABC system protein B,uvrB / UvrABC system protein B,COG0556,
E745S_00165,E745S_00165,CDS,uvrA,UvrABC system protein A,UvrABC system protein A,uvrA / UvrABC system protein A,,
E745S_00166,E745S_00166,CDS,NA,D-aspartate ligase,D-aspartate ligase,D-aspartate ligase,,6.3.1.12
E745S_00167,E745S_00167,CDS,NA,Aspartate racemase,Aspartate racemase,Aspartate racemase,,5.1.1.13
E745S_00168,E745S_00168,CDS,yvcJ,Nucleotide-binding protein YvcJ,Nucleotide-binding protein YvcJ,yvcJ / Nucleotide-binding protein YvcJ,COG1660,
E745S_00169,E745S_00169,CDS,NA,Putative gluconeogenesis factor,Putative gluconeogenesis factor,Putative gluconeogenesis factor,COG0391,
E745S_00170,E745S_00170,CDS,whiA,putative cell division protein WhiA,putative cell division protein WhiA,whiA / putative cell division protein WhiA,COG1481,
E745S_00171,E745S_00171,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00172,E745S_00172,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00173,E745S_00173,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00174,E745S_00174,CDS,NA,IS30 family transposase IS1252,IS30 family transposase IS1252,IS30 family transposase IS1252,COG2826,
E745S_00175,E745S_00175,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00176,E745S_00176,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00177,E745S_00177,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00178,E745S_00178,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00179,E745S_00179,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00180,E745S_00180,CDS,NA,Pyruvate:ferredoxin oxidoreductase,Pyruvate:ferredoxin oxidoreductase,Pyruvate:ferredoxin oxidoreductase,COG0674,1.2.7.1
E745S_00181,E745S_00181,CDS,cdaA,Cyclic di-AMP synthase CdaA,Cyclic di-AMP synthase CdaA,cdaA / Cyclic di-AMP synthase CdaA,COG1624,2.7.7.85
E745S_00182,E745S_00182,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00183,E745S_00183,CDS,glmM,Phosphoglucosamine mutase,Phosphoglucosamine mutase,glmM / Phosphoglucosamine mutase,COG1109,5.4.2.10
E745S_00184,E745S_00184,CDS,glmS,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],Glutamine--fructose-6-phosphate aminotransferase [isome,glmS / Glutamine--fructose-6-phosphate aminotransferase [isome,COG0449,2.6.1.16
E745S_00185,E745S_00185,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00186,E745S_00186,CDS,sppA,Putative signal peptide peptidase SppA,Putative signal peptide peptidase SppA,sppA / Putative signal peptide peptidase SppA,COG0616,3.4.21.-
E745S_00187,E745S_00187,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00188,E745S_00188,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00189,E745S_00189,CDS,tig,Trigger factor,Trigger factor,tig / Trigger factor,COG0544,5.2.1.8
E745S_00190,E745S_00190,CDS,clpX,ATP-dependent Clp protease ATP-binding subunit ClpX,ATP-dependent Clp protease ATP-binding subunit ClpX,clpX / ATP-dependent Clp protease ATP-binding subunit ClpX,COG1219,
E745S_00191,E745S_00191,CDS,engB,putative GTP-binding protein EngB,putative GTP-binding protein EngB,engB / putative GTP-binding protein EngB,COG0218,
E745S_00192,E745S_00192,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00193,E745S_00193,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00194,E745S_00194,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00195,E745S_00195,CDS,glcR,HTH-type transcriptional repressor GlcR,HTH-type transcriptional repressor GlcR,glcR / HTH-type transcriptional repressor GlcR,COG1349,
E745S_00196,E745S_00196,CDS,lacC_1,Tagatose-6-phosphate kinase,Tagatose-6-phosphate kinase,lacC_1 / Tagatose-6-phosphate kinase,COG1105,2.7.1.144
E745S_00197,E745S_00197,CDS,fruA_1,PTS system fructose-specific EIIABC component,PTS system fructose-specific EIIABC component,fruA_1 / PTS system fructose-specific EIIABC component,COG1299,
E745S_00198,E745S_00198,CDS,clcA,H(+)/Cl(-) exchange transporter ClcA,H(+)/Cl(-) exchange transporter ClcA,clcA / H(+)/Cl(-) exchange transporter ClcA,COG0038,
E745S_00199,E745S_00199,CDS,pcrA,ATP-dependent DNA helicase PcrA,ATP-dependent DNA helicase PcrA,pcrA / ATP-dependent DNA helicase PcrA,COG0210,3.6.4.12
E745S_00200,E745S_00200,CDS,ligA_1,DNA ligase,DNA ligase,ligA_1 / DNA ligase,COG0272,6.5.1.2
E745S_00201,E745S_00201,CDS,gatC_1,Glutamyl-tRNA(Gln) amidotransferase subunit C,Glutamyl-tRNA(Gln) amidotransferase subunit C,gatC_1 / Glutamyl-tRNA(Gln) amidotransferase subunit C,,6.3.5.-
E745S_00202,E745S_00202,CDS,gatA_1,Glutamyl-tRNA(Gln) amidotransferase subunit A,Glutamyl-tRNA(Gln) amidotransferase subunit A,gatA_1 / Glutamyl-tRNA(Gln) amidotransferase subunit A,COG0154,6.3.5.7
E745S_00203,E745S_00203,CDS,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subuni,gatB / Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subuni,COG0064,6.3.5.-
E745S_00204,E745S_00204,CDS,dagK_1,Diacylglycerol kinase,Diacylglycerol kinase,dagK_1 / Diacylglycerol kinase,COG1597,2.7.1.107
E745S_00205,E745S_00205,CDS,NA,putative RNA methyltransferase,putative RNA methyltransferase,putative RNA methyltransferase,COG2265,2.1.1.-
E745S_00206,E745S_00206,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00207,E745S_00207,CDS,aes_1,Acetyl esterase,Acetyl esterase,aes_1 / Acetyl esterase,,3.1.1.-
E745S_00208,E745S_00208,CDS,melR_2,HTH-type transcriptional repressor MelR,HTH-type transcriptional repressor MelR,melR_2 / HTH-type transcriptional repressor MelR,COG1609,
E745S_00209,E745S_00209,CDS,melA,Alpha-galactosidase Mel36A,Alpha-galactosidase Mel36A,melA / Alpha-galactosidase Mel36A,COG3345,3.2.1.22
