locus_tag	ftype	length_bp	gene	EC_number	COG	product
E745S_00034	CDS	1332				hypothetical protein
E745S_00035	gene	567				
E745S_00035	CDS	567				hypothetical protein
E745S_00036	gene	88				
E745S_00036	tRNA	88				tRNA-Ser(cga)
E745S_00037	gene	1206	xerC_1			
E745S_00037	CDS	1206	xerC_1			Tyrosine recombinase XerC
E745S_00038	gene	441				
E745S_00038	CDS	441				hypothetical protein
E745S_00039	gene	654				
E745S_00039	CDS	654				hypothetical protein
E745S_00040	gene	423				
E745S_00040	CDS	423				hypothetical protein
E745S_00041	gene	375				
E745S_00041	CDS	375				hypothetical protein
E745S_00042	gene	183				
E745S_00042	CDS	183				hypothetical protein
E745S_00043	gene	321				
E745S_00043	CDS	321				hypothetical protein
E745S_00044	gene	171				
E745S_00044	CDS	171				hypothetical protein
E745S_00045	gene	153				
E745S_00045	CDS	153				hypothetical protein
E745S_00046	gene	483				
E745S_00046	CDS	483				hypothetical protein
E745S_00047	gene	699				
E745S_00047	CDS	699				hypothetical protein
E745S_00048	gene	342				
E745S_00048	CDS	342				hypothetical protein
E745S_00049	gene	672				
E745S_00049	CDS	672				hypothetical protein
E745S_00050	gene	687				
E745S_00050	CDS	687				hypothetical protein
E745S_00051	gene	750				
E745S_00051	CDS	750				hypothetical protein
E745S_00052	gene	270				
E745S_00052	CDS	270				hypothetical protein
E745S_00053	gene	165				
E745S_00053	CDS	165				hypothetical protein
E745S_00054	gene	306				
E745S_00054	CDS	306				hypothetical protein
E745S_00055	gene	291				
E745S_00055	CDS	291				hypothetical protein
E745S_00056	gene	357				
E745S_00056	CDS	357				hypothetical protein
E745S_00057	gene	246				
E745S_00057	CDS	246				hypothetical protein
E745S_00058	gene	420				
E745S_00058	CDS	420				hypothetical protein
E745S_00059	gene	567				
E745S_00059	CDS	567				hypothetical protein
E745S_00060	gene	135				
E745S_00060	CDS	135				hypothetical protein
E745S_00061	gene	690				
E745S_00061	CDS	690				hypothetical protein
E745S_00062	gene	477				
E745S_00062	CDS	477				hypothetical protein
E745S_00063	gene	297	yjcQ			
E745S_00063	CDS	297	yjcQ			putative protein YjcQ
E745S_00064	gene	387				
E745S_00064	CDS	387				hypothetical protein
E745S_00065	gene	387				
E745S_00065	CDS	387				hypothetical protein
E745S_00066	gene	381				
E745S_00066	CDS	381				hypothetical protein
E745S_00067	gene	453				
E745S_00067	CDS	453				hypothetical protein
E745S_00068	gene	1728				
E745S_00068	CDS	1728				hypothetical protein
E745S_00069	gene	1131				
E745S_00069	CDS	1131				hypothetical protein
E745S_00070	gene	570				
E745S_00070	CDS	570				hypothetical protein
E745S_00071	gene	1362				
E745S_00071	CDS	1362				hypothetical protein
E745S_00072	gene	279				
E745S_00072	CDS	279				hypothetical protein
E745S_00073	gene	327				
E745S_00073	CDS	327				hypothetical protein
E745S_00074	gene	339				
E745S_00074	CDS	339				hypothetical protein
E745S_00075	gene	366				
E745S_00075	CDS	366				hypothetical protein
E745S_00076	gene	627				
E745S_00076	CDS	627				hypothetical protein
E745S_00077	gene	465				
E745S_00077	CDS	465				hypothetical protein
E745S_00078	gene	2310				
E745S_00078	CDS	2310				hypothetical protein
E745S_00079	gene	720				
E745S_00079	CDS	720				hypothetical protein
E745S_00080	gene	2706				
E745S_00080	CDS	2706				hypothetical protein
E745S_00081	gene	1719				
E745S_00081	CDS	1719				hypothetical protein
E745S_00082	gene	783				
E745S_00082	CDS	783				hypothetical protein
E745S_00083	gene	2067				
E745S_00083	CDS	2067				hypothetical protein
E745S_00084	gene	447				
E745S_00084	CDS	447				hypothetical protein
E745S_00085	gene	138				
E745S_00085	CDS	138				hypothetical protein
E745S_00086	gene	294				
E745S_00086	CDS	294				hypothetical protein
E745S_00087	gene	198				
E745S_00087	CDS	198				hypothetical protein
E745S_00088	gene	1020				
E745S_00088	CDS	1020				hypothetical protein
E745S_00089	gene	807				
E745S_00089	CDS	807				IS3 family transposase ISEnfa3
E745S_00090	gene	537				
E745S_00090	CDS	537				hypothetical protein
E745S_00091	gene	582	cbh_1			
E745S_00091	CDS	582	cbh_1	3.5.1.24		Choloylglycine hydrolase
E745S_00092	gene	1179				
E745S_00092	CDS	1179				IS256 family transposase ISEf1
E745S_00093	gene	351	cbh_2			
E745S_00093	CDS	351	cbh_2	3.5.1.24		Choloylglycine hydrolase
E745S_00094	gene	1446				
E745S_00094	CDS	1446				IS1182 family transposase ISEfa7
E745S_00095	gene	1896	asnB			
E745S_00095	CDS	1896	asnB	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
E745S_00096	gene	447				
E745S_00096	CDS	447				hypothetical protein
E745S_00097	gene	150	rpmGA_1			
E745S_00097	CDS	150	rpmGA_1			50S ribosomal protein L33 1
E745S_00098	gene	519	folA_1			
E745S_00098	CDS	519	folA_1	1.5.1.3		Dihydrofolate reductase
E745S_00099	gene	957	yfiY			
E745S_00099	CDS	957	yfiY		COG0614	putative siderophore-binding lipoprotein YfiY
E745S_00100	gene	807	fepC			
E745S_00100	CDS	807	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
E745S_00101	gene	990	feuB			
E745S_00101	CDS	990	feuB		COG0609	Iron-uptake system permease protein FeuB
E745S_00102	gene	1005	feuC			
E745S_00102	CDS	1005	feuC		COG0609	Iron-uptake system permease protein FeuC
E745S_00103	gene	543	yqgN			
E745S_00103	CDS	543	yqgN		COG0212	putative protein YqgN
E745S_00104	gene	699	gluP			
E745S_00104	CDS	699	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
E745S_00105	gene	213	yqgQ			
E745S_00105	CDS	213	yqgQ		COG4483	putative protein YqgQ
E745S_00106	gene	963	glcK			
E745S_00106	CDS	963	glcK	2.7.1.2	COG1940	Glucokinase
E745S_00107	gene	396	yibN			
E745S_00107	CDS	396	yibN		COG0607	putative protein YibN
E745S_00108	gene	366				
E745S_00108	CDS	366				hypothetical protein
E745S_00109	gene	1812				
E745S_00109	CDS	1812				hypothetical protein
E745S_00110	gene	168				
E745S_00110	CDS	168				hypothetical protein
E745S_00111	gene	990	galE			
E745S_00111	CDS	990	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
E745S_00112	gene	1485	galT			
E745S_00112	CDS	1485	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
E745S_00113	gene	981	melR_1			
E745S_00113	CDS	981	melR_1		COG1609	HTH-type transcriptional repressor MelR
E745S_00114	gene	825	tsaB			
E745S_00114	CDS	825	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
E745S_00115	gene	543				
E745S_00115	CDS	543				hypothetical protein
E745S_00116	gene	465	rimI			
E745S_00116	CDS	465	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
E745S_00117	gene	1017	tsaD			
E745S_00117	CDS	1017	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
E745S_00118	gene	702				
E745S_00118	CDS	702				hypothetical protein
E745S_00119	gene	1230	arcA			
E745S_00119	CDS	1230	arcA	3.5.3.6		Arginine deiminase
E745S_00120	gene	1020	arcB			
E745S_00120	CDS	1020	arcB	2.1.3.3		Ornithine carbamoyltransferase, catabolic
E745S_00121	gene	948	arcC1			
E745S_00121	CDS	948	arcC1	2.7.2.2		Carbamate kinase 1
E745S_00122	gene	1692	argS			
E745S_00122	CDS	1692	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
E745S_00123	gene	546	phnX_1			
E745S_00123	CDS	546	phnX_1	3.11.1.1		Phosphonoacetaldehyde hydrolase
E745S_00124	gene	129	phnX_2			
E745S_00124	CDS	129	phnX_2	3.11.1.1		Phosphonoacetaldehyde hydrolase
E745S_00125	gene	1092	phnW			
E745S_00125	CDS	1092	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
E745S_00126	gene	480	argR_1			
E745S_00126	CDS	480	argR_1			Arginine repressor
E745S_00127	gene	783	rpsB			
E745S_00127	CDS	783	rpsB		COG0052	30S ribosomal protein S2
E745S_00128	gene	882	tsf			
E745S_00128	CDS	882	tsf		COG0264	Elongation factor Ts
E745S_00129	gene	723	pyrH			
E745S_00129	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
E745S_00130	gene	558	frr			
E745S_00130	CDS	558	frr			Ribosome-recycling factor
E745S_00131	gene	813	uppS			
E745S_00131	CDS	813	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
E745S_00132	gene	801				
E745S_00132	CDS	801				hypothetical protein
E745S_00133	gene	1269	rasP			
E745S_00133	CDS	1269	rasP	3.4.24.-	COG0750	Regulator of sigma-W protease RasP
E745S_00134	gene	1710	proS			
E745S_00134	CDS	1710	proS	6.1.1.15	COG0442	Proline--tRNA ligase
E745S_00135	gene	4359	polC_1			
E745S_00135	CDS	4359	polC_1	2.7.7.7	COG2176	DNA polymerase III PolC-type
E745S_00136	gene	474	rimP			
E745S_00136	CDS	474	rimP		COG0779	Ribosome maturation factor RimP
E745S_00137	gene	1176	nusA			
E745S_00137	CDS	1176	nusA		COG0195	Transcription termination/antitermination protein NusA
E745S_00138	gene	294				
E745S_00138	CDS	294				hypothetical protein
E745S_00139	gene	312	rplGA			
E745S_00139	CDS	312	rplGA		COG1358	putative ribosomal protein YlxQ
E745S_00140	gene	2307	infB			
E745S_00140	CDS	2307	infB			Translation initiation factor IF-2
E745S_00141	gene	348	rbfA			
E745S_00141	CDS	348	rbfA			Ribosome-binding factor A
E745S_00142	gene	468				
E745S_00142	CDS	468		4.1.2.-		phosphoketolase
E745S_00143	gene	990	xpkA_1			
E745S_00143	CDS	990	xpkA_1	4.1.2.9		Xylulose-5-phosphate phosphoketolase
E745S_00144	gene	885	xpkA_2			
E745S_00144	CDS	885	xpkA_2	4.1.2.9		Xylulose-5-phosphate phosphoketolase
E745S_00145	gene	924	truB			
E745S_00145	CDS	924	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
E745S_00146	gene	942	ribF			
E745S_00146	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
E745S_00147	gene	786	gdhIV			
E745S_00147	CDS	786	gdhIV	1.1.1.47	COG1028	Glucose 1-dehydrogenase 4
E745S_00148	gene	852	glcU_1			
E745S_00148	CDS	852	glcU_1		COG4975	Glucose uptake protein GlcU
E745S_00149	gene	453				
E745S_00149	CDS	453				hypothetical protein
E745S_00150	gene	369	fra			
E745S_00150	CDS	369	fra		COG5646	Intracellular iron chaperone frataxin
E745S_00151	gene	483				
E745S_00151	CDS	483				hypothetical protein
E745S_00152	gene	1011	mccF			
E745S_00152	CDS	1011	mccF			Microcin C7 self-immunity protein MccF
E745S_00153	gene	714				
E745S_00153	CDS	714				hypothetical protein
E745S_00154	gene	591	ydeA			
E745S_00154	CDS	591	ydeA	3.2.-.-	COG0693	putative protease YdeA
E745S_00155	gene	228				
E745S_00155	CDS	228				hypothetical protein
E745S_00156	gene	1167	hemW			
E745S_00156	CDS	1167	hemW		COG0635	Heme chaperone HemW
E745S_00157	gene	1044	hrcA			
E745S_00157	CDS	1044	hrcA		COG1420	Heat-inducible transcription repressor HrcA
E745S_00158	gene	564	grpE			
E745S_00158	CDS	564	grpE			Protein GrpE
E745S_00159	gene	1830	dnaK			
E745S_00159	CDS	1830	dnaK		COG0443	Chaperone protein DnaK
E745S_00160	gene	1167	dnaJ			
E745S_00160	CDS	1167	dnaJ		COG0484	Chaperone protein DnaJ
E745S_00161	gene	630				
E745S_00161	CDS	630				hypothetical protein
E745S_00162	gene	738	artM_1			
E745S_00162	CDS	738	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
E745S_00163	gene	1503	mltF_1			
E745S_00163	CDS	1503	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
E745S_00164	gene	1995	uvrB			
E745S_00164	CDS	1995	uvrB		COG0556	UvrABC system protein B
E745S_00165	gene	2817	uvrA			
E745S_00165	CDS	2817	uvrA			UvrABC system protein A
E745S_00166	gene	1266				
E745S_00166	CDS	1266		6.3.1.12		D-aspartate ligase
E745S_00167	gene	732				
E745S_00167	CDS	732		5.1.1.13		Aspartate racemase
E745S_00168	gene	885	yvcJ			
E745S_00168	CDS	885	yvcJ		COG1660	Nucleotide-binding protein YvcJ
E745S_00169	gene	999				
E745S_00169	CDS	999			COG0391	Putative gluconeogenesis factor
E745S_00170	gene	936	whiA			
E745S_00170	CDS	936	whiA		COG1481	putative cell division protein WhiA
E745S_00171	gene	201				
E745S_00171	CDS	201				hypothetical protein
E745S_00172	gene	627				
E745S_00172	CDS	627				hypothetical protein
E745S_00173	gene	417				
E745S_00173	CDS	417				hypothetical protein
E745S_00174	gene	954				
E745S_00174	CDS	954			COG2826	IS30 family transposase IS1252
E745S_00175	gene	252				
E745S_00175	CDS	252				hypothetical protein
E745S_00176	gene	258				
E745S_00176	CDS	258				hypothetical protein
E745S_00177	gene	588				
E745S_00177	CDS	588				hypothetical protein
E745S_00178	gene	558				
E745S_00178	CDS	558				hypothetical protein
E745S_00179	gene	522				
E745S_00179	CDS	522				hypothetical protein
E745S_00180	gene	3693				
E745S_00180	CDS	3693		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
E745S_00181	gene	888	cdaA			
E745S_00181	CDS	888	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
E745S_00182	gene	1170				
E745S_00182	CDS	1170				hypothetical protein
E745S_00183	gene	1356	glmM			
E745S_00183	CDS	1356	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
E745S_00184	gene	1806	glmS			
E745S_00184	CDS	1806	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
E745S_00185	gene	291				
E745S_00185	CDS	291				hypothetical protein
E745S_00186	gene	1026	sppA			
E745S_00186	CDS	1026	sppA	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
E745S_00187	gene	660				
E745S_00187	CDS	660				hypothetical protein
E745S_00188	gene	918				
E745S_00188	CDS	918				hypothetical protein
E745S_00189	gene	1290	tig			
E745S_00189	CDS	1290	tig	5.2.1.8	COG0544	Trigger factor
E745S_00190	gene	1251	clpX			
E745S_00190	CDS	1251	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
E745S_00191	gene	588	engB			
E745S_00191	CDS	588	engB		COG0218	putative GTP-binding protein EngB
E745S_00192	gene	156				
E745S_00192	CDS	156				hypothetical protein
E745S_00193	gene	1329				
E745S_00193	CDS	1329				hypothetical protein
E745S_00194	gene	210				
E745S_00194	CDS	210				hypothetical protein
E745S_00195	gene	753	glcR			
E745S_00195	CDS	753	glcR		COG1349	HTH-type transcriptional repressor GlcR
E745S_00196	gene	915	lacC_1			
E745S_00196	CDS	915	lacC_1	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
E745S_00197	gene	1932	fruA_1			
E745S_00197	CDS	1932	fruA_1		COG1299	PTS system fructose-specific EIIABC component
E745S_00198	gene	1560	clcA			
E745S_00198	CDS	1560	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
E745S_00199	gene	2235	pcrA			
E745S_00199	CDS	2235	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
E745S_00200	gene	2037	ligA_1			
E745S_00200	CDS	2037	ligA_1	6.5.1.2	COG0272	DNA ligase
E745S_00201	gene	306	gatC_1			
E745S_00201	CDS	306	gatC_1	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C
E745S_00202	gene	1473	gatA_1			
E745S_00202	CDS	1473	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
E745S_00203	gene	1431	gatB			
E745S_00203	CDS	1431	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
E745S_00204	gene	1056	dagK_1			
E745S_00204	CDS	1056	dagK_1	2.7.1.107	COG1597	Diacylglycerol kinase
E745S_00205	gene	1374				
E745S_00205	CDS	1374		2.1.1.-	COG2265	putative RNA methyltransferase
E745S_00206	gene	129				
E745S_00206	CDS	129				hypothetical protein
E745S_00207	gene	1014	aes_1			
E745S_00207	CDS	1014	aes_1	3.1.1.-		Acetyl esterase
E745S_00208	gene	1035	melR_2			
E745S_00208	CDS	1035	melR_2		COG1609	HTH-type transcriptional repressor MelR
E745S_00209	gene	2226	melA			
E745S_00209	CDS	2226	melA	3.2.1.22	COG3345	Alpha-galactosidase Mel36A
E745S_00210	gene	1884	lacL			
E745S_00210	CDS	1884	lacL	3.2.1.23	COG3250	Beta-galactosidase large subunit
E745S_00211	gene	975	lacM			
E745S_00211	CDS	975	lacM	3.2.1.23	COG3250	Beta-galactosidase small subunit
E745S_00212	gene	1023	aroF			
E745S_00212	CDS	1023	aroF	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
E745S_00213	gene	1065	aroB			
E745S_00213	CDS	1065	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
E745S_00214	gene	1167	aroC			
E745S_00214	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
E745S_00215	gene	1092				
E745S_00215	CDS	1092				hypothetical protein
E745S_00216	gene	1296	aroA			
E745S_00216	CDS	1296	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
E745S_00217	gene	510	aroK			
E745S_00217	CDS	510	aroK	2.7.1.71	COG0703	Shikimate kinase
E745S_00218	gene	837	pheA			
E745S_00218	CDS	837	pheA			Bifunctional chorismate mutase/prephenate dehydratase
E745S_00219	gene	1737				
E745S_00219	CDS	1737				hypothetical protein
E745S_00220	gene	876	rhaR_1			
E745S_00220	CDS	876	rhaR_1			HTH-type transcriptional activator RhaR
E745S_00221	gene	579	cheB			
E745S_00221	CDS	579	cheB	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
E745S_00222	gene	1287	lacE_1			
E745S_00222	CDS	1287	lacE_1			Lactose-binding protein
E745S_00223	gene	870	lacF_1			
E745S_00223	CDS	870	lacF_1			Lactose transport system permease protein LacF
E745S_00224	gene	870	lacG_1			
E745S_00224	CDS	870	lacG_1			Lactose transport system permease protein LacG
E745S_00225	gene	672	umpB_1			
E745S_00225	CDS	672	umpB_1			Na(+), Li(+), K(+)/H(+) antiporter subunit B
E745S_00226	gene	774	umpB_2			
E745S_00226	CDS	774	umpB_2			Na(+), Li(+), K(+)/H(+) antiporter subunit B
E745S_00227	gene	399				
E745S_00227	CDS	399				hypothetical protein
E745S_00228	gene	672				
E745S_00228	CDS	672				hypothetical protein
E745S_00229	gene	441				
E745S_00229	CDS	441				hypothetical protein
E745S_00230	gene	669	gpmA_1			
E745S_00230	CDS	669	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
E745S_00231	gene	624	gph_1			
E745S_00231	CDS	624	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
E745S_00232	gene	387				
E745S_00232	CDS	387				hypothetical protein
E745S_00233	gene	1392	tcyP			
E745S_00233	CDS	1392	tcyP		COG1823	L-cystine uptake protein TcyP
E745S_00234	gene	369				
E745S_00234	CDS	369				hypothetical protein
E745S_00235	gene	132				
E745S_00235	CDS	132				hypothetical protein
E745S_00236	gene	942				
E745S_00236	CDS	942				hypothetical protein
E745S_00237	gene	732	pphA			
E745S_00237	CDS	732	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
E745S_00238	gene	2181	yhgF			
E745S_00238	CDS	2181	yhgF		COG2183	Protein YhgF
E745S_00239	gene	483				
E745S_00239	CDS	483				Protein SprT-like protein
E745S_00240	gene	762	ydcF			
E745S_00240	CDS	762	ydcF		COG1434	Protein YdcF
E745S_00241	gene	1335	murC			
E745S_00241	CDS	1335	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
E745S_00242	gene	486				
E745S_00242	CDS	486				hypothetical protein
E745S_00243	gene	684	ybhL			
E745S_00243	CDS	684	ybhL		COG0670	Inner membrane protein YbhL
E745S_00244	gene	2646	polA			
E745S_00244	CDS	2646	polA	2.7.7.7		DNA polymerase I
E745S_00245	gene	837	mutM			
E745S_00245	CDS	837	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
E745S_00246	gene	630	coaE			
E745S_00246	CDS	630	coaE	2.7.1.24		Dephospho-CoA kinase
E745S_00247	gene	333				
E745S_00247	CDS	333				hypothetical protein
E745S_00248	gene	492	nrdR			
E745S_00248	CDS	492	nrdR		COG1327	Transcriptional repressor NrdR
E745S_00249	gene	1374	dnaB			
E745S_00249	CDS	1374	dnaB		COG3611	Replication initiation and membrane attachment protein
E745S_00250	gene	222	dnaI_1			
E745S_00250	CDS	222	dnaI_1		COG1484	Primosomal protein DnaI
E745S_00251	gene	708	dnaI_2			
E745S_00251	CDS	708	dnaI_2		COG1484	Primosomal protein DnaI
E745S_00252	gene	441				
E745S_00252	CDS	441				hypothetical protein
E745S_00253	gene	1296				
E745S_00253	CDS	1296				ISL3 family transposase ISEfa5
E745S_00254	gene	204	trmK_1			
E745S_00254	CDS	204	trmK_1	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
E745S_00255	gene	414	trmK_2			
E745S_00255	CDS	414	trmK_2	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
E745S_00256	gene	273				
E745S_00256	CDS	273			COG0327	GTP cyclohydrolase 1 type 2 
E745S_00257	gene	867				
E745S_00257	CDS	867			COG0327	GTP cyclohydrolase 1 type 2 
E745S_00258	gene	1233	pepT			
E745S_00258	CDS	1233	pepT	3.4.11.4		Peptidase T
E745S_00259	gene	909	dagK_2			
E745S_00259	CDS	909	dagK_2	2.7.1.107	COG1597	Diacylglycerol kinase
E745S_00260	gene	273				
E745S_00260	CDS	273				hypothetical protein
E745S_00261	gene	1047				
E745S_00261	CDS	1047				hypothetical protein
E745S_00262	gene	2610	clpB			
E745S_00262	CDS	2610	clpB		COG0542	Chaperone protein ClpB
E745S_00263	gene	672				
E745S_00263	CDS	672				hypothetical protein
E745S_00264	gene	495				
E745S_00264	CDS	495				hypothetical protein
E745S_00265	gene	1221	eis_1			
E745S_00265	CDS	1221	eis_1	2.3.1.-		N-acetyltransferase Eis
E745S_00266	gene	1836	lepA			
E745S_00266	CDS	1836	lepA	3.6.5.-		Elongation factor 4
E745S_00267	gene	1128	xerC_2			
E745S_00267	CDS	1128	xerC_2			Tyrosine recombinase XerC
E745S_00268	gene	954				
E745S_00268	CDS	954			COG2826	IS30 family transposase IS1252
E745S_00269	gene	1179				
E745S_00269	CDS	1179				IS256 family transposase ISEf1
E745S_00270	gene	414				
E745S_00270	CDS	414				hypothetical protein
E745S_00271	gene	486				
E745S_00271	CDS	486				hypothetical protein
E745S_00272	gene	216				
E745S_00272	CDS	216				hypothetical protein
E745S_00273	gene	801	fabG_1			
E745S_00273	CDS	801	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
E745S_00274	gene	1869	licR_1			
E745S_00274	CDS	1869	licR_1		COG1762	putative licABCH operon regulator
E745S_00275	gene	492				
E745S_00275	CDS	492				hypothetical protein
E745S_00276	gene	555	srlA			
E745S_00276	CDS	555	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
E745S_00277	gene	996	srlE			
E745S_00277	CDS	996	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
E745S_00278	gene	1251				
E745S_00278	CDS	1251				IS110 family transposase ISSpn10
E745S_00279	gene	399	srlB			
E745S_00279	CDS	399	srlB		COG3731	PTS system glucitol/sorbitol-specific EIIA component
E745S_00280	gene	711	fsaA			
E745S_00280	CDS	711	fsaA	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 1
E745S_00281	gene	888	prsA_1			
E745S_00281	CDS	888	prsA_1	5.2.1.8		Foldase protein PrsA
E745S_00282	gene	840				
E745S_00282	CDS	840				hypothetical protein
E745S_00283	gene	975				
E745S_00283	CDS	975				hypothetical protein
E745S_00284	gene	357				
E745S_00284	CDS	357				hypothetical protein
E745S_00285	gene	1158				
E745S_00285	CDS	1158				hypothetical protein
E745S_00286	gene	441	spxA_1			
E745S_00286	CDS	441	spxA_1		COG1393	Regulatory protein Spx
E745S_00287	gene	507	sttH			
E745S_00287	CDS	507	sttH	3.5.2.19		Streptothricin hydrolase
E745S_00288	gene	1905				
E745S_00288	CDS	1905				hypothetical protein
E745S_00289	gene	1002	aes_2			
E745S_00289	CDS	1002	aes_2	3.1.1.-		Acetyl esterase
E745S_00290	gene	207				
