gene_id,ftype,gene_name,product_name,product_short,plot_label,COG,EC_number
E745S_00186,gene,sppA,NA,NA,sppA,,
E745S_00187,gene,NA,NA,NA,E745S_00187,,
E745S_00188,gene,NA,NA,NA,E745S_00188,,
E745S_00189,gene,tig,NA,NA,tig,,
E745S_00190,gene,clpX,NA,NA,clpX,,
E745S_00191,gene,engB,NA,NA,engB,,
E745S_00192,gene,NA,NA,NA,E745S_00192,,
E745S_00193,gene,NA,NA,NA,E745S_00193,,
E745S_00194,gene,NA,NA,NA,E745S_00194,,
E745S_00195,gene,glcR,NA,NA,glcR,,
E745S_00196,gene,lacC_1,NA,NA,lacC_1,,
E745S_00197,gene,fruA_1,NA,NA,fruA_1,,
E745S_00198,gene,clcA,NA,NA,clcA,,
E745S_00199,gene,pcrA,NA,NA,pcrA,,
E745S_00200,gene,ligA_1,NA,NA,ligA_1,,
E745S_00201,gene,gatC_1,NA,NA,gatC_1,,
E745S_00202,gene,gatA_1,NA,NA,gatA_1,,
E745S_00203,gene,gatB,NA,NA,gatB,,
E745S_00204,gene,dagK_1,NA,NA,dagK_1,,
E745S_00205,gene,NA,NA,NA,E745S_00205,,
E745S_00206,gene,NA,NA,NA,E745S_00206,,
E745S_00207,gene,aes_1,NA,NA,aes_1,,
E745S_00208,gene,melR_2,NA,NA,melR_2,,
E745S_00209,gene,melA,NA,NA,melA,,
E745S_00210,gene,lacL,NA,NA,lacL,,
E745S_00211,gene,lacM,NA,NA,lacM,,
E745S_00212,gene,aroF,NA,NA,aroF,,
E745S_00213,gene,aroB,NA,NA,aroB,,
E745S_00214,gene,aroC,NA,NA,aroC,,
E745S_00215,gene,NA,NA,NA,E745S_00215,,
E745S_00216,gene,aroA,NA,NA,aroA,,
E745S_00217,gene,aroK,NA,NA,aroK,,
E745S_00218,gene,pheA,NA,NA,pheA,,
E745S_00219,gene,NA,NA,NA,E745S_00219,,
E745S_00220,gene,rhaR_1,NA,NA,rhaR_1,,
E745S_00221,gene,cheB,NA,NA,cheB,,
E745S_00222,gene,lacE_1,NA,NA,lacE_1,,
E745S_00223,gene,lacF_1,NA,NA,lacF_1,,
E745S_00224,gene,lacG_1,NA,NA,lacG_1,,
E745S_00225,gene,umpB_1,NA,NA,umpB_1,,
E745S_00226,gene,umpB_2,NA,NA,umpB_2,,
E745S_00227,gene,NA,NA,NA,E745S_00227,,
E745S_00228,gene,NA,NA,NA,E745S_00228,,
E745S_00229,gene,NA,NA,NA,E745S_00229,,
E745S_00230,gene,gpmA_1,NA,NA,gpmA_1,,
E745S_00231,gene,gph_1,NA,NA,gph_1,,
E745S_00232,gene,NA,NA,NA,E745S_00232,,
E745S_00233,gene,tcyP,NA,NA,tcyP,,
E745S_00234,gene,NA,NA,NA,E745S_00234,,
E745S_00235,gene,NA,NA,NA,E745S_00235,,
E745S_00236,gene,NA,NA,NA,E745S_00236,,
E745S_00237,gene,pphA,NA,NA,pphA,,
E745S_00238,gene,yhgF,NA,NA,yhgF,,
E745S_00239,gene,NA,NA,NA,E745S_00239,,
E745S_00240,gene,ydcF,NA,NA,ydcF,,
E745S_00241,gene,murC,NA,NA,murC,,
E745S_00242,gene,NA,NA,NA,E745S_00242,,
E745S_00243,gene,ybhL,NA,NA,ybhL,,
E745S_00244,gene,polA,NA,NA,polA,,
E745S_00245,gene,mutM,NA,NA,mutM,,
E745S_00246,gene,coaE,NA,NA,coaE,,
E745S_00247,gene,NA,NA,NA,E745S_00247,,
E745S_00248,gene,nrdR,NA,NA,nrdR,,
E745S_00249,gene,dnaB,NA,NA,dnaB,,
E745S_00250,gene,dnaI_1,NA,NA,dnaI_1,,
E745S_00251,gene,dnaI_2,NA,NA,dnaI_2,,
E745S_00252,gene,NA,NA,NA,E745S_00252,,
E745S_00253,gene,NA,NA,NA,E745S_00253,,
E745S_00254,gene,trmK_1,NA,NA,trmK_1,,
E745S_00255,gene,trmK_2,NA,NA,trmK_2,,
E745S_00256,gene,NA,NA,NA,E745S_00256,,
E745S_00257,gene,NA,NA,NA,E745S_00257,,
E745S_00258,gene,pepT,NA,NA,pepT,,
E745S_00259,gene,dagK_2,NA,NA,dagK_2,,
E745S_00260,gene,NA,NA,NA,E745S_00260,,
E745S_00261,gene,NA,NA,NA,E745S_00261,,
E745S_00262,gene,clpB,NA,NA,clpB,,
E745S_00263,gene,NA,NA,NA,E745S_00263,,
E745S_00264,gene,NA,NA,NA,E745S_00264,,
E745S_00265,gene,eis_1,NA,NA,eis_1,,
E745S_00266,gene,lepA,NA,NA,lepA,,
E745S_00267,gene,xerC_2,NA,NA,xerC_2,,
E745S_00268,gene,NA,NA,NA,E745S_00268,,
E745S_00269,gene,NA,NA,NA,E745S_00269,,
E745S_00270,gene,NA,NA,NA,E745S_00270,,
E745S_00271,gene,NA,NA,NA,E745S_00271,,
E745S_00272,gene,NA,NA,NA,E745S_00272,,
E745S_00273,gene,fabG_1,NA,NA,fabG_1,,
E745S_00274,gene,licR_1,NA,NA,licR_1,,
E745S_00275,gene,NA,NA,NA,E745S_00275,,
E745S_00276,gene,srlA,NA,NA,srlA,,
E745S_00277,gene,srlE,NA,NA,srlE,,
E745S_00278,gene,NA,NA,NA,E745S_00278,,
E745S_00279,gene,srlB,NA,NA,srlB,,
E745S_00280,gene,fsaA,NA,NA,fsaA,,
E745S_00281,gene,prsA_1,NA,NA,prsA_1,,
E745S_00282,gene,NA,NA,NA,E745S_00282,,
E745S_00283,gene,NA,NA,NA,E745S_00283,,
E745S_00284,gene,NA,NA,NA,E745S_00284,,
E745S_00285,gene,NA,NA,NA,E745S_00285,,
E745S_00286,gene,spxA_1,NA,NA,spxA_1,,
E745S_00287,gene,sttH,NA,NA,sttH,,
E745S_00288,gene,NA,NA,NA,E745S_00288,,
E745S_00289,gene,aes_2,NA,NA,aes_2,,
E745S_00290,gene,NA,NA,NA,E745S_00290,,
E745S_00291,gene,murR_1,NA,NA,murR_1,,
E745S_00292,gene,NA,NA,NA,E745S_00292,,
E745S_00293,gene,fldH,NA,NA,fldH,,
E745S_00294,gene,NA,NA,NA,E745S_00294,,
E745S_00295,gene,hcxA,NA,NA,hcxA,,
E745S_00296,gene,NA,NA,NA,E745S_00296,,
E745S_00297,gene,manZ_1,NA,NA,manZ_1,,
E745S_00298,gene,sorB_1,NA,NA,sorB_1,,
E745S_00299,gene,NA,NA,NA,E745S_00299,,
E745S_00300,gene,NA,NA,NA,E745S_00300,,
E745S_00301,gene,manX_1,NA,NA,manX_1,,
E745S_00302,gene,uxuA_1,NA,NA,uxuA_1,,
E745S_00303,gene,ppaX,NA,NA,ppaX,,
E745S_00304,gene,NA,NA,NA,E745S_00304,,
E745S_00305,gene,cspL,NA,NA,cspL,,
E745S_00306,gene,NA,NA,NA,E745S_00306,,
E745S_00307,gene,NA,NA,NA,E745S_00307,,
E745S_00308,gene,NA,NA,NA,E745S_00308,,
E745S_00309,gene,NA,NA,NA,E745S_00309,,
E745S_00310,gene,NA,NA,NA,E745S_00310,,
E745S_00311,gene,NA,NA,NA,E745S_00311,,
E745S_00312,gene,NA,NA,NA,E745S_00312,,
E745S_00313,gene,yidA_1,NA,NA,yidA_1,,
E745S_00314,gene,gspA_1,NA,NA,gspA_1,,
E745S_00315,gene,gspA_2,NA,NA,gspA_2,,
E745S_00316,gene,NA,NA,NA,E745S_00316,,
E745S_00317,gene,NA,NA,NA,E745S_00317,,
E745S_00318,gene,yghA,NA,NA,yghA,,
E745S_00319,gene,NA,NA,NA,E745S_00319,,
E745S_00320,gene,NA,NA,NA,E745S_00320,,
E745S_00321,gene,NA,NA,NA,E745S_00321,,
E745S_00322,gene,NA,NA,NA,E745S_00322,,
E745S_00323,gene,NA,NA,NA,E745S_00323,,
E745S_00324,gene,NA,NA,NA,E745S_00324,,
E745S_00325,gene,NA,NA,NA,E745S_00325,,
E745S_00326,gene,NA,NA,NA,E745S_00326,,
E745S_00327,gene,NA,NA,NA,E745S_00327,,
E745S_00328,gene,NA,NA,NA,E745S_00328,,
E745S_00329,gene,NA,NA,NA,E745S_00329,,
E745S_00330,gene,NA,NA,NA,E745S_00330,,
E745S_00331,gene,NA,NA,NA,E745S_00331,,
E745S_00332,gene,NA,NA,NA,E745S_00332,,
E745S_00333,gene,amt,NA,NA,amt,,
E745S_00334,gene,gadC_1,NA,NA,gadC_1,,
E745S_00335,gene,glsA,NA,NA,glsA,,
E745S_00336,gene,NA,NA,NA,E745S_00336,,
E745S_00337,gene,dxs,NA,NA,dxs,,
E745S_00338,gene,NA,NA,NA,E745S_00338,,
E745S_00339,gene,nanE_1,NA,NA,nanE_1,,
E745S_00340,gene,NA,NA,NA,E745S_00340,,
E745S_00341,gene,NA,NA,NA,E745S_00341,,
E745S_00342,gene,ftsW_1,NA,NA,ftsW_1,,
E745S_00343,gene,msrR,NA,NA,msrR,,
E745S_00344,gene,pbp,NA,NA,pbp,,
E745S_00345,gene,napA_1,NA,NA,napA_1,,
E745S_00346,gene,napA_2,NA,NA,napA_2,,
E745S_00347,gene,NA,NA,NA,E745S_00347,,
E745S_00348,gene,NA,NA,NA,E745S_00348,,
E745S_00349,gene,ahpF,NA,NA,ahpF,,
E745S_00350,gene,ahpC,NA,NA,ahpC,,
E745S_00351,gene,rspR_1,NA,NA,rspR_1,,
E745S_00352,gene,uxuA_2,NA,NA,uxuA_2,,
E745S_00353,gene,uxuA_3,NA,NA,uxuA_3,,
E745S_00354,gene,NA,NA,NA,E745S_00354,,
E745S_00355,gene,NA,NA,NA,E745S_00355,,
E745S_00356,gene,NA,NA,NA,E745S_00356,,
E745S_00357,gene,NA,NA,NA,E745S_00357,,
E745S_00358,gene,ohrR,NA,NA,ohrR,,
E745S_00359,gene,ohrA,NA,NA,ohrA,,
E745S_00360,gene,NA,NA,NA,E745S_00360,,
E745S_00361,gene,NA,NA,NA,E745S_00361,,
E745S_00362,gene,bbmA,NA,NA,bbmA,,
E745S_00363,gene,mdxE,NA,NA,mdxE,,
E745S_00364,gene,NA,NA,NA,E745S_00364,,
E745S_00365,gene,malG,NA,NA,malG,,
E745S_00366,gene,NA,NA,NA,E745S_00366,,
E745S_00367,gene,cfa,NA,NA,cfa,,
E745S_00368,gene,NA,NA,NA,E745S_00368,,
E745S_00369,gene,pyrDA,NA,NA,pyrDA,,
E745S_00370,gene,nylA,NA,NA,nylA,,
E745S_00371,gene,yckB,NA,NA,yckB,,
E745S_00372,gene,yecS_1,NA,NA,yecS_1,,
E745S_00373,gene,NA,NA,NA,E745S_00373,,
E745S_00374,gene,NA,NA,NA,E745S_00374,,
E745S_00375,gene,NA,NA,NA,E745S_00375,,
E745S_00376,gene,gmk_1,NA,NA,gmk_1,,
E745S_00377,gene,nupC,NA,NA,nupC,,
E745S_00378,gene,NA,NA,NA,E745S_00378,,
E745S_00379,gene,NA,NA,NA,E745S_00379,,
E745S_00380,gene,NA,NA,NA,E745S_00380,,
E745S_00381,gene,NA,NA,NA,E745S_00381,,
E745S_00382,gene,NA,NA,NA,E745S_00382,,
E745S_00383,gene,NA,NA,NA,E745S_00383,,
E745S_00384,gene,NA,NA,NA,E745S_00384,,
E745S_00385,gene,ygaZ_1,NA,NA,ygaZ_1,,
E745S_00386,gene,NA,NA,NA,E745S_00386,,
E745S_00387,gene,murJ_1,NA,NA,murJ_1,,
E745S_00388,gene,degV,NA,NA,degV,,
E745S_00389,gene,NA,NA,NA,E745S_00389,,
E745S_00390,gene,NA,NA,NA,E745S_00390,,
E745S_00391,gene,malL_1,NA,NA,malL_1,,
E745S_00392,gene,NA,NA,NA,E745S_00392,,
E745S_00393,gene,hmpT,NA,NA,hmpT,,
E745S_00394,gene,pdxK,NA,NA,pdxK,,
E745S_00395,gene,menE,NA,NA,menE,,
E745S_00396,gene,xerC_3,NA,NA,xerC_3,,
E745S_00397,gene,ysnF,NA,NA,ysnF,,
E745S_00398,gene,sasA_1,NA,NA,sasA_1,,
E745S_00399,gene,mprA,NA,NA,mprA,,
E745S_00400,gene,NA,NA,NA,E745S_00400,,
E745S_00401,gene,lolD_1,NA,NA,lolD_1,,
E745S_00402,gene,hrtA_1,NA,NA,hrtA_1,,
E745S_00403,gene,NA,NA,NA,E745S_00403,,
E745S_00404,gene,NA,NA,NA,E745S_00404,,
E745S_00405,gene,NA,NA,NA,E745S_00405,,
E745S_00406,gene,NA,NA,NA,E745S_00406,,
E745S_00407,gene,NA,NA,NA,E745S_00407,,
E745S_00408,gene,NA,NA,NA,E745S_00408,,
E745S_00409,gene,NA,NA,NA,E745S_00409,,
E745S_00410,gene,NA,NA,NA,E745S_00410,,
E745S_00411,gene,NA,NA,NA,E745S_00411,,
E745S_00412,gene,ybbH_1,NA,NA,ybbH_1,,
E745S_00413,gene,yhhX,NA,NA,yhhX,,
E745S_00414,gene,NA,NA,NA,E745S_00414,,
E745S_00415,gene,NA,NA,NA,E745S_00415,,
E745S_00416,gene,NA,NA,NA,E745S_00416,,
E745S_00417,gene,ulaA_1,NA,NA,ulaA_1,,
E745S_00418,gene,NA,NA,NA,E745S_00418,,
E745S_00419,gene,NA,NA,NA,E745S_00419,,
E745S_00420,gene,rhaS_1,NA,NA,rhaS_1,,
E745S_00421,gene,NA,NA,NA,E745S_00421,,
E745S_00422,gene,ldh_1,NA,NA,ldh_1,,
E745S_00423,gene,NA,NA,NA,E745S_00423,,
E745S_00424,gene,NA,NA,NA,E745S_00424,,
E745S_00425,gene,NA,NA,NA,E745S_00425,,
E745S_00426,gene,topB_1,NA,NA,topB_1,,
E745S_00427,gene,NA,NA,NA,E745S_00427,,
E745S_00428,gene,tagU_1,NA,NA,tagU_1,,
E745S_00429,gene,aroE,NA,NA,aroE,,
E745S_00430,gene,cmpD,NA,NA,cmpD,,
E745S_00431,gene,NA,NA,NA,E745S_00431,,
E745S_00432,gene,NA,NA,NA,E745S_00432,,
E745S_00433,gene,NA,NA,NA,E745S_00433,,
E745S_00434,gene,NA,NA,NA,E745S_00434,,
E745S_00435,gene,rqcH,NA,NA,rqcH,,
E745S_00436,gene,hdfR_1,NA,NA,hdfR_1,,
E745S_00437,gene,cah,NA,NA,cah,,
E745S_00438,gene,yfbR,NA,NA,yfbR,,
E745S_00439,gene,pyrE,NA,NA,pyrE,,
E745S_00440,gene,pyrF,NA,NA,pyrF,,
E745S_00441,gene,pyrDB,NA,NA,pyrDB,,
E745S_00442,gene,pyrK_1,NA,NA,pyrK_1,,
E745S_00443,gene,pyrK_2,NA,NA,pyrK_2,,
E745S_00444,gene,carB,NA,NA,carB,,
E745S_00445,gene,carA,NA,NA,carA,,
E745S_00446,gene,pyrC,NA,NA,pyrC,,
E745S_00447,gene,pyrB,NA,NA,pyrB,,
E745S_00448,gene,pyrP,NA,NA,pyrP,,
E745S_00449,gene,pyrR,NA,NA,pyrR,,
E745S_00450,gene,rluD_1,NA,NA,rluD_1,,
E745S_00451,gene,lspA,NA,NA,lspA,,
E745S_00452,gene,NA,NA,NA,E745S_00452,,
E745S_00453,gene,NA,NA,NA,E745S_00453,,
E745S_00454,gene,fhs1,NA,NA,fhs1,,
E745S_00455,gene,NA,NA,NA,E745S_00455,,
E745S_00456,gene,NA,NA,NA,E745S_00456,,
E745S_00457,gene,rnhA,NA,NA,rnhA,,
E745S_00458,gene,fieF,NA,NA,fieF,,
E745S_00459,gene,panT_1,NA,NA,panT_1,,
E745S_00460,gene,alaS,NA,NA,alaS,,
E745S_00461,gene,NA,NA,NA,E745S_00461,,
E745S_00462,gene,cshB,NA,NA,cshB,,
E745S_00463,gene,NA,NA,NA,E745S_00463,,
E745S_00464,gene,NA,NA,NA,E745S_00464,,
E745S_00465,gene,steT_1,NA,NA,steT_1,,
E745S_00466,gene,NA,NA,NA,E745S_00466,,
E745S_00467,gene,NA,NA,NA,E745S_00467,,
E745S_00468,gene,NA,NA,NA,E745S_00468,,
E745S_00469,gene,yedJ,NA,NA,yedJ,,
E745S_00470,gene,ypwA,NA,NA,ypwA,,
E745S_00471,gene,rlmL,NA,NA,rlmL,,
E745S_00472,gene,gpsB,NA,NA,gpsB,,
E745S_00473,gene,NA,NA,NA,E745S_00473,,
E745S_00474,gene,recU,NA,NA,recU,,
E745S_00475,gene,ponA_1,NA,NA,ponA_1,,
E745S_00476,gene,NA,NA,NA,E745S_00476,,
E745S_00477,gene,NA,NA,NA,E745S_00477,,
E745S_00478,gene,nth,NA,NA,nth,,
E745S_00479,gene,dnaD,NA,NA,dnaD,,
E745S_00480,gene,tetA,NA,NA,tetA,,
E745S_00481,gene,NA,NA,NA,E745S_00481,,
E745S_00482,gene,NA,NA,NA,E745S_00482,,
E745S_00483,gene,nox_1,NA,NA,nox_1,,
E745S_00484,gene,perR,NA,NA,perR,,
E745S_00485,gene,cysK,NA,NA,cysK,,
E745S_00486,gene,NA,NA,NA,E745S_00486,,
E745S_00487,gene,NA,NA,NA,E745S_00487,,
E745S_00488,gene,tkt,NA,NA,tkt,,
E745S_00489,gene,NA,NA,NA,E745S_00489,,
E745S_00490,gene,lexA,NA,NA,lexA,,
E745S_00491,gene,NA,NA,NA,E745S_00491,,
E745S_00492,gene,apt,NA,NA,apt,,
E745S_00493,gene,NA,NA,NA,E745S_00493,,
E745S_00494,gene,NA,NA,NA,E745S_00494,,
E745S_00495,gene,hcaB,NA,NA,hcaB,,
E745S_00496,gene,rnz,NA,NA,rnz,,
E745S_00497,gene,NA,NA,NA,E745S_00497,,
E745S_00498,gene,obg,NA,NA,obg,,
E745S_00499,gene,gap_1,NA,NA,gap_1,,
